"Calendar year","Sex","RoadUser_Group","Sum(Hospitalisations)"
2011,"Female","Car driver",5068
2011,"Male","Car driver",5880
2011,"Female","Car passenger",2808
2011,"Male","Car passenger",2045
2011,"Female","Motorcyclist",737
2011,"Male","Motorcyclist",6828
2011,"Female","Other",801
2011,"Male","Other",1721
2011,"Female","Pedal cyclist",1125
2011,"Male","Pedal cyclist",4266
2011,"Female","Pedestrian",1173
2011,"Male","Pedestrian",1581
2012,"Female","Car driver",5017
2012,"Male","Car driver",5789
2012,"Female","Car passenger",2694
2012,"Male","Car passenger",2044
2012,"Female","Motorcyclist",774
2012,"Male","Motorcyclist",6954
2012,"Female","Other",813
2012,"Male","Other",1646
2012,"Female","Pedal cyclist",1182
2012,"Male","Pedal cyclist",4439
2012,"Female","Pedestrian",1113
2012,"Male","Pedestrian",1559
2013,"Female","Car driver",5178
2013,"Male","Car driver",5763
2013,"Female","Car passenger",2847
2013,"Male","Car passenger",1981
2013,"Female","Motorcyclist",827
2013,"Male","Motorcyclist",7190
2013,"Female","Other",769
2013,"Male","Other",1525
2013,"Female","Pedal cyclist",1317
2013,"Male","Pedal cyclist",4945
2013,"Female","Pedestrian",1104
2013,"Male","Pedestrian",1553
2014,"Female","Car driver",5316
2014,"Male","Car driver",5806
2014,"Female","Car passenger",2790
2014,"Male","Car passenger",1835
2014,"Female","Motorcyclist",838
2014,"Male","Motorcyclist",7496
2014,"Female","Other",808
2014,"Male","Other",1436
2014,"Female","Pedal cyclist",1418
2014,"Male","Pedal cyclist",5218
2014,"Female","Pedestrian",1124
2014,"Male","Pedestrian",1430
2015,"Female","Car driver",5907
2015,"Male","Car driver",6256
2015,"Female","Car passenger",2972
2015,"Male","Car passenger",1985
2015,"Female","Motorcyclist",881
2015,"Male","Motorcyclist",7417
2015,"Female","Other",799
2015,"Male","Other",1521
2015,"Female","Pedal cyclist",1425
2015,"Male","Pedal cyclist",5291
2015,"Female","Pedestrian",1177
2015,"Male","Pedestrian",1450
2016,"Female","Car driver",6390
2016,"Male","Car driver",6804
2016,"Female","Car passenger",3016
2016,"Male","Car passenger",2087
2016,"Female","Motorcyclist",904
2016,"Male","Motorcyclist",7622
2016,"Female","Other",901
2016,"Male","Other",1592
2016,"Female","Pedal cyclist",1519
2016,"Male","Pedal cyclist",5385
2016,"Female","Pedestrian",1222
2016,"Male","Pedestrian",1521
2017,"Female","Car driver",6410
2017,"Male","Car driver",6857
2017,"Female","Car passenger",3185
2017,"Male","Car passenger",1917
2017,"Female","Motorcyclist",871
2017,"Male","Motorcyclist",7868
2017,"Female","Other",880
2017,"Male","Other",1561
2017,"Female","Pedal cyclist",1509
2017,"Male","Pedal cyclist",5567
2017,"Female","Pedestrian",1228
2017,"Male","Pedestrian",1486
2018,"Female","Car driver",6629
2018,"Male","Car driver",6966
2018,"Female","Car passenger",3149
2018,"Male","Car passenger",2057
2018,"Female","Motorcyclist",894
2018,"Male","Motorcyclist",7729
2018,"Female","Other",884
2018,"Male","Other",1662
2018,"Female","Pedal cyclist",1523
2018,"Male","Pedal cyclist",5434
2018,"Female","Pedestrian",1194
2018,"Male","Pedestrian",1467
2019,"Female","Car driver",6823
2019,"Male","Car driver",6658
2019,"Female","Car passenger",3118
2019,"Male","Car passenger",1871
2019,"Female","Motorcyclist",980
2019,"Male","Motorcyclist",7944
2019,"Female","Other",872
2019,"Male","Other",1583
2019,"Female","Pedal cyclist",1517
2019,"Male","Pedal cyclist",5785
2019,"Female","Pedestrian",1189
2019,"Male","Pedestrian",1524
2020,"Female","Car driver",5626
2020,"Male","Car driver",6588
2020,"Female","Car passenger",2587
2020,"Male","Car passenger",1757
2020,"Female","Motorcyclist",931
2020,"Male","Motorcyclist",7752
2020,"Female","Other",778
2020,"Male","Other",1507
2020,"Female","Pedal cyclist",1946
2020,"Male","Pedal cyclist",6385
2020,"Female","Pedestrian",913
2020,"Male","Pedestrian",1189
2021,"Female","Car driver",6602
2021,"Male","Car driver",6725
2021,"Female","Car passenger",2698
2021,"Male","Car passenger",1797
2021,"Female","Motorcyclist",992
2021,"Male","Motorcyclist",7891
2021,"Female","Other",742
2021,"Male","Other",1561
2021,"Female","Pedal cyclist",1737
2021,"Male","Pedal cyclist",6425
2021,"Female","Pedestrian",945
2021,"Male","Pedestrian",1389
