"Calendar year","Age group","RoadUser_Group","Sum(Hospitalisations)"
2011,"0-7","Car passenger",273
2011,"0-7","Motorcyclist",27
2011,"0-7","Other",52
2011,"0-7","Pedal cyclist",204
2011,"0-7","Pedestrian",163
2011,"8-16","Car driver",73
2011,"8-16","Car passenger",636
2011,"8-16","Motorcyclist",474
2011,"8-16","Other",103
2011,"8-16","Pedal cyclist",861
2011,"8-16","Pedestrian",373
2011,"17-25","Car driver",2917
2011,"17-25","Car passenger",1455
2011,"17-25","Motorcyclist",2042
2011,"17-25","Other",480
2011,"17-25","Pedal cyclist",668
2011,"17-25","Pedestrian",532
2011,"26-39","Car driver",2790
2011,"26-39","Car passenger",841
2011,"26-39","Motorcyclist",2174
2011,"26-39","Other",581
2011,"26-39","Pedal cyclist",1314
2011,"26-39","Pedestrian",466
2011,"40-64","Car driver",3472
2011,"40-64","Car passenger",962
2011,"40-64","Motorcyclist",2645
2011,"40-64","Other",931
2011,"40-64","Pedal cyclist",2017
2011,"40-64","Pedestrian",633
2011,"65-74","Car driver",813
2011,"65-74","Car passenger",314
2011,"65-74","Motorcyclist",161
2011,"65-74","Other",208
2011,"65-74","Pedal cyclist",240
2011,"65-74","Pedestrian",232
2011,"75+","Car driver",883
2011,"75+","Car passenger",372
2011,"75+","Motorcyclist",42
2011,"75+","Other",167
2011,"75+","Pedal cyclist",87
2011,"75+","Pedestrian",355
2012,"0-7","Car driver",2
2012,"0-7","Car passenger",308
2012,"0-7","Motorcyclist",47
2012,"0-7","Other",47
2012,"0-7","Pedal cyclist",202
2012,"0-7","Pedestrian",144
2012,"8-16","Car driver",59
2012,"8-16","Car passenger",568
2012,"8-16","Motorcyclist",478
2012,"8-16","Other",81
2012,"8-16","Pedal cyclist",828
2012,"8-16","Pedestrian",313
2012,"17-25","Car driver",2830
2012,"17-25","Car passenger",1384
2012,"17-25","Motorcyclist",2077
2012,"17-25","Other",511
2012,"17-25","Pedal cyclist",731
2012,"17-25","Pedestrian",502
2012,"26-39","Car driver",2736
2012,"26-39","Car passenger",884
2012,"26-39","Motorcyclist",2240
2012,"26-39","Other",561
2012,"26-39","Pedal cyclist",1317
2012,"26-39","Pedestrian",513
2012,"40-64","Car driver",3391
2012,"40-64","Car passenger",905
2012,"40-64","Motorcyclist",2679
2012,"40-64","Other",889
2012,"40-64","Pedal cyclist",2157
2012,"40-64","Pedestrian",641
2012,"65-74","Car driver",846
2012,"65-74","Car passenger",283
2012,"65-74","Motorcyclist",166
2012,"65-74","Other",156
