"Calendar year","RoadUser_Group","Counterparty_Group","Sum(Hospitalisations)"
2011,"Car driver","Car / van",5768
2011,"Car driver","Fixed object",2774
2011,"Car driver","Heavy transport / bus",523
2011,"Car driver","Motorcycle",20
2011,"Car driver","Non-collision / solo",1619
2011,"Car driver","Other / unspecified",156
2011,"Car driver","Pedal cycle",3
2011,"Car driver","Pedestrian / animal",85
2011,"Car passenger","Car / van",2480
2011,"Car passenger","Fixed object",1058
2011,"Car passenger","Heavy transport / bus",175
2011,"Car passenger","Motorcycle",10
2011,"Car passenger","Non-collision / solo",974
2011,"Car passenger","Other / unspecified",115
2011,"Car passenger","Pedestrian / animal",41
2011,"Motorcyclist","Car / van",1810
2011,"Motorcyclist","Fixed object",653
2011,"Motorcyclist","Heavy transport / bus",88
2011,"Motorcyclist","Motorcycle",135
2011,"Motorcyclist","Non-collision / solo",3044
2011,"Motorcyclist","Other / unspecified",1687
2011,"Motorcyclist","Pedal cycle",8
2011,"Motorcyclist","Pedestrian / animal",140
2011,"Other","Car / van",280
2011,"Other","Fixed object",174
2011,"Other","Heavy transport / bus",118
2011,"Other","Motorcycle",1
2011,"Other","Non-collision / solo",653
2011,"Other","Other / unspecified",1274
2011,"Other","Pedestrian / animal",22
2011,"Pedal cyclist","Car / van",1239
2011,"Pedal cyclist","Fixed object",274
2011,"Pedal cyclist","Heavy transport / bus",53
2011,"Pedal cyclist","Motorcycle",16
2011,"Pedal cyclist","Non-collision / solo",2353
2011,"Pedal cyclist","Other / unspecified",1180
2011,"Pedal cyclist","Pedal cycle",235
2011,"Pedal cyclist","Pedestrian / animal",41
2011,"Pedestrian","Car / van",2437
2011,"Pedestrian","Heavy transport / bus",112
2011,"Pedestrian","Motorcycle",64
2011,"Pedestrian","Other / unspecified",94
2011,"Pedestrian","Pedal cycle",34
2011,"Pedestrian","Pedestrian / animal",13
2012,"Car driver","Car / van",5607
2012,"Car driver","Fixed object",2754
2012,"Car driver","Heavy transport / bus",461
2012,"Car driver","Motorcycle",21
2012,"Car driver","Non-collision / solo",1709
2012,"Car driver","Other / unspecified",166
2012,"Car driver","Pedal cycle",9
2012,"Car driver","Pedestrian / animal",79
2012,"Car passenger","Car / van",2341
2012,"Car passenger","Fixed object",1017
2012,"Car passenger","Heavy transport / bus",163
2012,"Car passenger","Motorcycle",4
2012,"Car passenger","Non-collision / solo",1072
2012,"Car passenger","Other / unspecified",80
2012,"Car passenger","Pedal cycle",3
2012,"Car passenger","Pedestrian / animal",58
2012,"Motorcyclist","Car / van",1889
2012,"Motorcyclist","Fixed object",656
2012,"Motorcyclist","Heavy transport / bus",79
2012,"Motorcyclist","Motorcycle",136
2012,"Motorcyclist","Non-collision / solo",3026
2012,"Motorcyclist","Other / unspecified",1769
2012,"Motorcyclist","Pedal cycle",3
2012,"Motorcyclist","Pedestrian / animal",170
2012,"Other","Car / van",316
2012,"Other","Fixed object",180
2012,"Other","Heavy transport / bus",127
2012,"Other","Motorcycle",3
2012,"Other","Non-collision / solo",589
2012,"Other","Other / unspecified",1225
2012,"Other","Pedestrian / animal",19
2012,"Pedal cyclist","Car / van",1292
2012,"Pedal cyclist","Fixed object",292
2012,"Pedal cyclist","Heavy transport / bus",70
2012,"Pedal cyclist","Motorcycle",8
2012,"Pedal cyclist","Non-collision / solo",2419
2012,"Pedal cyclist","Other / unspecified",1241
2012,"Pedal cyclist","Pedal cycle",258
2012,"Pedal cyclist","Pedestrian / animal",41
2012,"Pedestrian","Car / van",2341
2012,"Pedestrian","Heavy transport / bus",121
2012,"Pedestrian","Motorcycle",45
2012,"Pedestrian","Other / unspecified",104
2012,"Pedestrian","Pedal cycle",48
2012,"Pedestrian","Pedestrian / animal",13
2013,"Car driver","Car / van",5580
2013,"Car driver","Fixed object",2762
2013,"Car driver","Heavy transport / bus",548
2013,"Car driver","Motorcycle",25
2013,"Car driver","Non-collision / solo",1746
2013,"Car driver","Other / unspecified",175
2013,"Car driver","Pedal cycle",7
2013,"Car driver","Pedestrian / animal",99
2013,"Car passenger","Car / van",2436
2013,"Car passenger","Fixed object",1016
2013,"Car passenger","Heavy transport / bus",167
2013,"Car passenger","Motorcycle",7
2013,"Car passenger","Non-collision / solo",1046
2013,"Car passenger","Other / unspecified",96
2013,"Car passenger","Pedal cycle",2
2013,"Car passenger","Pedestrian / animal",58
2013,"Motorcyclist","Car / van",1997
2013,"Motorcyclist","Fixed object",749
2013,"Motorcyclist","Heavy transport / bus",84
2013,"Motorcyclist","Motorcycle",134
2013,"Motorcyclist","Non-collision / solo",3279
2013,"Motorcyclist","Other / unspecified",1591
2013,"Motorcyclist","Pedal cycle",6
2013,"Motorcyclist","Pedestrian / animal",178
2013,"Other","Car / van",281
2013,"Other","Fixed object",157
2013,"Other","Heavy transport / bus",109
2013,"Other","Motorcycle",1
2013,"Other","Non-collision / solo",560
2013,"Other","Other / unspecified",1165
2013,"Other","Pedal cycle",2
2013,"Other","Pedestrian / animal",19
2013,"Pedal cyclist","Car / van",1387
2013,"Pedal cyclist","Fixed object",294
2013,"Pedal cyclist","Heavy transport / bus",64
2013,"Pedal cyclist","Motorcycle",14
2013,"Pedal cyclist","Non-collision / solo",2786
2013,"Pedal cyclist","Other / unspecified",1296
2013,"Pedal cyclist","Pedal cycle",357
2013,"Pedal cyclist","Pedestrian / animal",64
2013,"Pedestrian","Car / van",2318
2013,"Pedestrian","Heavy transport / bus",132
2013,"Pedestrian","Motorcycle",52
2013,"Pedestrian","Other / unspecified",82
2013,"Pedestrian","Pedal cycle",57
2013,"Pedestrian","Pedestrian / animal",16
2014,"Car driver","Car / van",5880
2014,"Car driver","Fixed object",2832
2014,"Car driver","Heavy transport / bus",513
2014,"Car driver","Motorcycle",28
2014,"Car driver","Non-collision / solo",1605
2014,"Car driver","Other / unspecified",175
2014,"Car driver","Pedal cycle",6
2014,"Car driver","Pedestrian / animal",83
2014,"Car passenger","Car / van",2352
2014,"Car passenger","Fixed object",954
2014,"Car passenger","Heavy transport / bus",181
2014,"Car passenger","Motorcycle",6
2014,"Car passenger","Non-collision / solo",991
2014,"Car passenger","Other / unspecified",99
2014,"Car passenger","Pedal cycle",4
2014,"Car passenger","Pedestrian / animal",38
2014,"Motorcyclist","Car / van",2076
2014,"Motorcyclist","Fixed object",755
2014,"Motorcyclist","Heavy transport / bus",80
2014,"Motorcyclist","Motorcycle",132
2014,"Motorcyclist","Non-collision / solo",3448
2014,"Motorcyclist","Other / unspecified",1618
2014,"Motorcyclist","Pedal cycle",10
2014,"Motorcyclist","Pedestrian / animal",215
2014,"Other","Car / van",332
2014,"Other","Fixed object",160
2014,"Other","Heavy transport / bus",106
2014,"Other","Motorcycle",2
2014,"Other","Non-collision / solo",587
2014,"Other","Other / unspecified",1050
2014,"Other","Pedal cycle",2
2014,"Other","Pedestrian / animal",5
2014,"Pedal cyclist","Car / van",1413
2014,"Pedal cyclist","Fixed object",361
2014,"Pedal cyclist","Heavy transport / bus",65
2014,"Pedal cyclist","Motorcycle",14
2014,"Pedal cyclist","Non-collision / solo",3008
2014,"Pedal cyclist","Other / unspecified",1407
2014,"Pedal cyclist","Pedal cycle",294
2014,"Pedal cyclist","Pedestrian / animal",74
2014,"Pedestrian","Car / van",2205
2014,"Pedestrian","Heavy transport / bus",132
2014,"Pedestrian","Motorcycle",62
2014,"Pedestrian","Other / unspecified",96
2014,"Pedestrian","Pedal cycle",50
2014,"Pedestrian","Pedestrian / animal",9
2015,"Car driver","Car / van",6530
2015,"Car driver","Fixed object",2996
2015,"Car driver","Heavy transport / bus",547
2015,"Car driver","Motorcycle",21
2015,"Car driver","Non-collision / solo",1822
2015,"Car driver","Other / unspecified",157
2015,"Car driver","Pedal cycle",4
2015,"Car driver","Pedestrian / animal",86
2015,"Car passenger","Car / van",2560
2015,"Car passenger","Fixed object",1034
2015,"Car passenger","Heavy transport / bus",197
2015,"Car passenger","Motorcycle",6
2015,"Car passenger","Non-collision / solo",1030
2015,"Car passenger","Other / unspecified",89
2015,"Car passenger","Pedestrian / animal",42
2015,"Motorcyclist","Car / van",2131
2015,"Motorcyclist","Fixed object",751
2015,"Motorcyclist","Heavy transport / bus",88
2015,"Motorcyclist","Motorcycle",175
2015,"Motorcyclist","Non-collision / solo",3412
2015,"Motorcyclist","Other / unspecified",1546
2015,"Motorcyclist","Pedal cycle",7
2015,"Motorcyclist","Pedestrian / animal",188
2015,"Other","Car / van",312
2015,"Other","Fixed object",173
2015,"Other","Heavy transport / bus",101
2015,"Other","Motorcycle",1
2015,"Other","Non-collision / solo",602
2015,"Other","Other / unspecified",1117
2015,"Other","Pedal cycle",1
2015,"Other","Pedestrian / animal",13
2015,"Pedal cyclist","Car / van",1455
2015,"Pedal cyclist","Fixed object",350
2015,"Pedal cyclist","Heavy transport / bus",47
2015,"Pedal cyclist","Motorcycle",15
2015,"Pedal cyclist","Non-collision / solo",3004
2015,"Pedal cyclist","Other / unspecified",1421
2015,"Pedal cyclist","Pedal cycle",354
2015,"Pedal cyclist","Pedestrian / animal",70
2015,"Pedestrian","Car / van",2330
2015,"Pedestrian","Heavy transport / bus",94
2015,"Pedestrian","Motorcycle",49
2015,"Pedestrian","Other / unspecified",95
2015,"Pedestrian","Pedal cycle",52
2015,"Pedestrian","Pedestrian / animal",7
2016,"Car driver","Car / van",7366
2016,"Car driver","Fixed object",3227
2016,"Car driver","Heavy transport / bus",541
